Iteration;Best Fitness;Average Fitness;Worst Fitness
43;100157;72268;67179
44;100157;78758;67179
45;100157;93970;67179
46;100157;85707;67179
47;100157;72557;67179
48;100157;84391;67179
49;100157;90937;67179
50;100157;81345;67179
51;100157;82781;67179
52;100157;85807;67179
53;100157;86838;67179
54;100157;92417;67179
55;100157;82663;67179
56;100157;78177;67179
57;100157;85762;67179
58;100157;90121;67179
59;100157;71387;67179
60;100157;81262;67179
61;100157;82060;67179
62;100157;83106;67179
63;100157;66281;66281
64;100157;95516;66281
65;100157;91384;66281
66;100157;82756;66281
67;104388;104388;66281
68;104388;88189;66281
69;104388;71300;66281
70;104388;93955;66281
71;104388;74033;66281
72;104388;92732;66281
73;104388;79066;66281
74;104388;81541;66281
75;104388;95421;66281
76;104388;83287;66281
77;104388;82437;66281
78;104388;80349;66281
79;104388;65754;65754
80;104388;90759;65754
81;104388;83940;65754
82;104388;93923;65754
83;104388;80422;65754
84;104388;92587;65754
85;104388;74633;65754
86;104388;91622;65754
87;104388;83654;65754
88;104388;78569;65754
89;104388;89095;65754
90;104388;66588;65754
91;104388;90150;65754
92;104388;73738;65754
93;104388;91971;65754
94;104388;82783;65754
95;104388;90674;65754
96;104388;69179;65754
97;104388;82048;65754
98;104388;78426;65754
99;104388;70979;65754
100;104388;77007;65754
Iteration;Best Fitness;Average Fitness;Worst Fitness
1;93332;93332;93332
2;93332;83187;83187
3;93332;81956;81956
4;93332;75372;75372
5;93332;75328;75328
6;93332;76056;75328
7;94140;94140;75328
8;94140;77692;75328
9;99089;99089;75328
10;99089;85156;75328
11;99089;85324;75328
12;99089;68828;68828
13;99089;71483;68828
14;99089;61855;61855
15;99089;73254;61855
16;99089;92368;61855
17;99089;75813;61855
18;99089;71380;61855
19;99089;92063;61855
20;99089;80529;61855
21;99089;75915;61855
22;99089;72685;61855
23;99089;68713;61855
24;99089;84653;61855
25;99089;83874;61855
26;99089;86732;61855
27;99089;78291;61855
28;99089;73174;61855
29;99089;85232;61855
30;99089;73974;61855
31;99089;79650;61855
32;99089;83009;61855
33;99089;65204;61855
34;99089;88362;61855
35;99089;94130;61855
36;99089;89712;61855
37;99089;83683;61855
38;99089;81749;61855
39;99089;95625;61855
40;99089;80372;61855
41;99089;91867;61855
42;99089;80726;61855
43;99089;88222;61855
44;99089;85546;61855
