Iteration;Best Fitness;Average Fitness;Worst Fitness
45;88187;85432.8;80033
46;88187;85416.4;80033
47;88187;85375.7;80033
48;88187;85301.3;80033
49;88187;85278.5;80033
50;88187;85235.9;80033
51;88187;85207.5;80033
52;88187;85189.9;80033
53;88187;85098.7;80033
54;88187;85075.6;80033
55;88187;85044.8;80033
56;88187;85027.3;80033
57;88187;85017.6;80033
58;88187;85019.7;80033
59;88187;84977.2;80033
60;88187;84976.5;80033
61;88187;84945.3;80033
62;88187;84928.3;80033
63;88187;84900.4;80033
64;88187;84828.7;80033
65;88187;84812.2;80033
66;88187;84802.2;80033
67;88187;84761.6;80033
68;88187;84717.9;80033
69;88187;84679.2;80033
70;88187;84636.2;80033
71;88187;84532.4;77268
72;88187;84439.4;77268
73;88187;84364.7;77268
74;88187;84268.3;77232
75;88187;84167.7;76722
76;88187;84095.5;76722
77;88187;83995.4;76384
78;88187;83910.3;76384
79;88187;83811.2;76083
80;88187;83730.4;76083
81;88187;83647.3;76083
82;88187;83558.7;76083
83;88187;83484.3;76083
84;88187;83408.8;76083
85;88187;83351.4;76083
86;88187;83297.6;76083
87;88187;83248.9;76083
88;88187;83198.4;76083
89;88187;83150.6;76083
90;88187;83106.2;76083
91;88187;83064.9;76083
92;88187;83016.5;76083
93;88187;82956.9;76083
94;88187;82898.7;76083
95;88187;82864.4;76083
96;88187;82838;76083
97;88187;82821.8;76083
98;88187;82786.8;76083
99;88187;82748.4;76083
100;88187;82714.3;76083
Iteration;Best Fitness;Average Fitness;Worst Fitness
1;95428;189932;94504
2;95428;141837;93742
3;95428;126343;93742
4;96159;118797;93742
5;96453;114328;93742
6;97243;111481;93742
7;99205;109727;93742
8;99205;108302;93742
9;99205;107176;93742
10;99205;105934;93742
11;99205;104855;93742
12;99205;104101;93742
13;99205;103398;93742
14;99205;102912;93742
15;99205;102519;93742
16;99205;102197;93742
17;99888;102061;93742
18;100929;101998;93742
19;100929;101897;93742
20;100929;101783;93742
21;100929;101717;93742
22;101253;101696;93742
23;101253;101671;93742
24;101253;101624;93742
25;101253;101563;93742
26;101253;101529;93742
27;101253;101502;93742
28;103791;101584;93742
29;105783;101729;93742
30;106671;101893;93742
31;107652;102079;93742
32;110504;102342;93742
33;110504;102499;93742
34;110504;102669;93742
35;111755;102928;93742
36;112555;103196;93742
37;113127;103464;93742
38;114155;103745;93742
39;114155;104005;93742
40;114155;104180;93742
41;114155;104327;93742
42;114155;104426;93742
43;114155;104508;93742
44;114155;104570;93742
45;114155;104688;93742
46;114155;104782;93742
47;114155;104886;93742
48;114155;104994;93742
49;114155;105057;93742
50;114155;105167;93742
51;114155;105260;93742
52;114155;105321;93742
53;114155;105314;93742
54;114155;105348;93742
55;114155;105382;93742
56;114155;105398;93742
57;114155;105463;93742
58;114155;105542;93742
59;114155;105615;93742
60;114155;105700;93742
61;114155;105764;93742
62;114155;105820;93742
63;114155;105859;93742
64;114155;105906;93742
65;114155;105966;93742
66;114155;106036;93742
67;114155;106089;93742
68;114155;106151;93742
69;114155;106239;93742
70;114155;106309;93742
71;114155;106364;93742
72;114155;106400;93742
73;114155;106389;93742
74;114155;106419;93742
75;114155;106453;93742
76;114155;106461;93742
77;114155;106457;93742
78;114155;106441;93742
79;114155;106445;93742
80;114155;106445;93742
81;114155;106458;93742
82;114155;106446;93742
83;114155;106445;93742
84;114155;106449;93742
85;114155;106449;93742
86;114155;106432;93742
87;114155;106412;93742
88;114155;106391;93742
89;114155;106383;93742
90;114155;106376;93742
91;114155;106368;93742
92;114155;106362;93742
93;114155;106341;93742
94;114155;106293;93742
95;114155;106262;93742
96;114155;106244;93742
97;114155;106241;93742
98;114155;106257;93742
99;114155;106253;93742
100;114155;106239;93742
Iteration;Best Fitness;Average Fitness;Worst Fitness
1;80296;157088;76792
2;81440;119264;76792
3;82316;106948;76792
4;82316;100215;76792
5;82316;95877.2;76792
6;82316;93018.7;76792
7;83126;91605.4;76792
8;84842;90760;76792
9;87694;90419.3;76792
10;88820;90259.4;76792
11;88820;90110.3;76792
12;89514;90060.6;76792
13;89514;89951.3;76792
14;90508;89991.1;76792
15;90508;89994.4;76792
16;90508;89784.6;76792
17;90508;89699.5;76792
18;90508;89655.2;76792
19;90508;89595.5;76792
20;90508;89494.7;76792
21;90508;89322.4;76792
22;90508;89170.4;76792
23;90508;89058.6;76792
24;90508;88964.6;76792
25;90508;88841.2;76792
26;90508;88858.1;76792
27;90508;88906.2;76792
28;91091;88984.2;76792
29;95031;89192.8;76792
30;95031;89356.2;76792
31;95031;89513.4;76792
32;95031;89615.3;76792
33;95031;89776.7;76792
34;95712;89951.2;76792
35;96686;90143.7;76792
36;98986;90389.3;76792
37;98986;90598.6;76792
38;98986;90751.8;76792
39;98986;90922.9;76792
40;98986;91004.7;76792
41;98986;91147.6;76792
42;98986;91286.7;76792
43;98986;91401.7;76792
44;98986;91491.5;76792
45;98986;91580.6;76792
46;98986;91687.3;76792
47;98986;91776.2;76792
48;98986;91869.8;76792
49;98986;91947.9;76792
50;98986;92018.8;76792
51;98986;92104.1;76792
52;98986;92159.6;76792
53;98986;92225.6;76792
54;98986;92305.3;76792
55;98986;92392.9;76792
56;98986;92442.2;76792
57;98986;92489.9;76792
58;98986;92510.8;76792
59;98986;92542.6;76792
60;98986;92568.3;76792
61;98986;92537.3;76792
62;98986;92568.7;76792
63;98986;92594.4;76792
64;98986;92637.2;76792
65;98986;92663.5;76792
66;98986;92702.3;76792
67;98986;92714.5;76792
68;98986;92718.8;76792
69;98986;92735.3;76792
70;98986;92749.9;76792
71;98986;92759.2;76792
72;98986;92758.1;76792
73;98986;92777;76792
74;98986;92808.7;76792
75;98986;92856.1;76792
76;98986;92928.1;76792
77;99371;93011.8;76792
78;99371;93088.2;76792
79;99945;93175;76792
80;100965;93272.3;76792
81;101899;93378.8;76792
82;102936;93495.4;76792
83;103649;93617.7;76792
84;105619;93760.6;76792
85;105619;93866.5;76792
86;105619;93935.4;76792
87;105619;94044.7;76792
88;105619;94149.3;76792
89;105619;94261.3;76792
90;105619;94351.9;76792
91;105619;94447.8;76792
92;107226;94586.7;76792
93;108168;94732.7;76792
94;108168;94870.2;76792
95;108518;95013.9;76792
96;108518;95152.5;76792
97;108518;95273.2;76792
98;108785;95411.1;76792
99;108785;95539;76792
100;108785;95667.3;76792
Iteration;Best Fitness;Average Fitness;Worst Fitness
1;82349;164231;82349
2;82349;123179;82127
3;82349;109199;81239
4;83651;102812;81239
5;85029;99255.4;81239
6;85029;96654.7;81239
7;87155;95297.6;81239
8;87155;94150.1;81239
9;87155;92796.8;81239
10;87155;91626.7;81096
11;87155;90669.4;81096
12;87155;89794.6;80172
13;87155;89132.8;80172
14;87155;88606.7;80172
15;87155;88089.2;80172
16;87155;87593;80150
17;87155;87114.2;79454
18;87155;86711;79454
19;87155;86392.5;79454
20;87155;86020.8;78958
21;87155;85751.5;78958
22;87155;85501.7;78958
23;87155;85344.1;78958
24;87155;85212.5;78958
25;87155;85068.5;78958
26;87155;84904.7;78958
27;87155;84782.2;78958
28;87155;84651.8;78958
29;87155;84546.6;78958
30;87155;84479.3;78958
31;87155;84390.5;78958
32;87155;84342.9;78958
33;87155;84321.4;78958
34;87155;84286;78958
35;87155;84204;78958
36;87155;84095.3;78958
37;87155;83967;78958
38;87155;83891.3;78958
39;87155;83856;78958
40;87155;83813.8;78958
41;87155;83796.2;78958
42;87155;83708.5;78958
43;87155;83611.8;78958
44;87155;83454.6;76697
45;87155;83350.3;76697
46;87155;83259.3;76697
47;87155;83177.7;76697
48;87155;83091.2;76697
49;87155;82936.7;75520
50;87155;82843.5;75520
51;87155;82772.3;75520
52;87155;82736.9;75520
53;87155;82700.1;75520
54;87155;82673.3;75520
55;87155;82659.9;75520
56;87155;82631;75520
57;87155;82583;75520
58;87155;82468;75520
59;87155;82370.5;75520
60;87155;82269;75520
61;87155;82235.3;75520
62;87155;82156.8;75520
63;87155;82146.6;75520
64;87155;82151.3;75520
65;87155;82137.8;75520
66;87155;82118.1;75520
67;87155;82070.9;75520
68;87155;82034.3;75520
69;87155;81978;75520
70;87155;81917.5;75520
71;87155;81851.6;75520
72;87155;81794.6;75520
73;87155;81736.5;75520
74;87155;81695.9;75520
75;87155;81650.1;75520
76;87155;81643.1;75520
77;87155;81651.2;75520
78;87155;81641.4;75520
79;87155;81630.9;75520
80;87155;81638.8;75520
81;87155;81658.9;75520
82;87155;81685.4;75520
83;87155;81721.2;75520
84;87155;81749.3;75520
85;87155;81773.2;75520
86;87155;81785.8;75520
87;87155;81791.6;75520
88;87155;81792.4;75520
89;87155;81790.9;75520
90;87155;81760;75520
91;87155;81721.9;75520
92;87155;81680.9;75520
93;87155;81633.4;75520
94;87155;81602.1;75520
95;87155;81568.4;75520
